Health: 0; Armor: 28; MR: 0; Gold: 570
Health: 289; Armor: 15; MR: 0; Gold: 1080
Health: 364; Armor: 0; MR: 7; Gold: 1100
Health: 262; Armor: 20; MR: 0; Gold: 1120
Health: 413; Armor: 4; MR: 0; Gold: 1190
Health: 382; Armor: 0; MR: 10; Gold: 1220
Health: 391; Armor: 13; MR: 0; Gold: 1320
Health: 563; Armor: 0; MR: 0; Gold: 1490
Health: 560; Armor: 0; MR: 0; Gold: 1500
Health: 496; Armor: 0; MR: 10; Gold: 1510
Health: 505; Armor: 11; MR: 0; Gold: 1580
Health: 555; Armor: 0; MR: 6; Gold: 1590
Health: 557; Armor: 0; MR: 8; Gold: 1650
Health: 594; Armor: 9; MR: 0; Gold: 1780
Health: 722; Armor: 0; MR: 0; Gold: 1930
Health: 749; Armor: 0; MR: 0; Gold: 2000
Health: 766; Armor: 0; MR: 0; Gold: 2040
Health: 807; Armor: 0; MR: 0; Gold: 2150
Health: 820; Armor: 0; MR: 0; Gold: 2190
Health: 866; Armor: 0; MR: 0; Gold: 2300
Health: 879; Armor: 0; MR: 0; Gold: 2340
Health: 858; Armor: 4; MR: 0; Gold: 2380
Health: 925; Armor: 0; MR: 0; Gold: 2470
Health: 940; Armor: 0; MR: 0; Gold: 2510
Health: 970; Armor: 0; MR: 0; Gold: 2590
Health: 977; Armor: 0; MR: 0; Gold: 2610
Health: 981; Armor: 0; MR: 0; Gold: 2620
Health: 992; Armor: 0; MR: 0; Gold: 2650
Health: 1051; Armor: 0; MR: 0; Gold: 2800
Health: 1063; Armor: 0; MR: 0; Gold: 2840
Health: 1067; Armor: 0; MR: 0; Gold: 2850
Health: 1074; Armor: 0; MR: 0; Gold: 2870
Health: 1138; Armor: 0; MR: 0; Gold: 3040
Health: 1149; Armor: 0; MR: 0; Gold: 3070
Health: 1164; Armor: 0; MR: 0; Gold: 3110
Health: 1168; Armor: 0; MR: 0; Gold: 3120
Health: 1184; Armor: 0; MR: 0; Gold: 3150
Health: 1193; Armor: 0; MR: 0; Gold: 3170
Health: 1202; Armor: 0; MR: 0; Gold: 3210
Health: 1220; Armor: 0; MR: 0; Gold: 3260
Health: 1282; Armor: 0; MR: 0; Gold: 3410
Health: 1288; Armor: 0; MR: 0; Gold: 3440
Health: 1299; Armor: 0; MR: 0; Gold: 3470
Health: 1303; Armor: 0; MR: 0; Gold: 3480
Health: 1319; Armor: 0; MR: 0; Gold: 3510
Health: 1323; Armor: 0; MR: 0; Gold: 3520
Health: 1340; Armor: 0; MR: 0; Gold: 3580
Health: 1351; Armor: 0; MR: 0; Gold: 3590
Health: 1353; Armor: 0; MR: 0; Gold: 3600
Health: 1364; Armor: 0; MR: 0; Gold: 3630
Health: 1366; Armor: 0; MR: 0; Gold: 3640
Health: 1365; Armor: 0; MR: 0; Gold: 3660
Health: 1382; Armor: 0; MR: 0; Gold: 3680
Health: 1373; Armor: 0; MR: 1; Gold: 3690
Health: 1379; Armor: 0; MR: 1; Gold: 3710
Health: 1382; Armor: 0; MR: 1; Gold: 3720
Health: 1384; Armor: 0; MR: 1; Gold: 3730
Health: 1387; Armor: 0; MR: 1; Gold: 3740
Health: 1390; Armor: 0; MR: 2; Gold: 3750
Health: 1393; Armor: 0; MR: 2; Gold: 3760
Health: 1396; Armor: 0; MR: 2; Gold: 3770
Health: 1398; Armor: 0; MR: 2; Gold: 3780
Health: 1401; Armor: 0; MR: 2; Gold: 3790
Health: 1404; Armor: 0; MR: 2; Gold: 3800
Health: 1407; Armor: 0; MR: 2; Gold: 3810
Health: 1410; Armor: 0; MR: 3; Gold: 3820
Health: 1413; Armor: 0; MR: 3; Gold: 3830
Health: 1415; Armor: 0; MR: 3; Gold: 3840
Health: 1418; Armor: 0; MR: 3; Gold: 3850
Health: 1421; Armor: 0; MR: 3; Gold: 3860
Health: 1424; Armor: 0; MR: 3; Gold: 3870
Health: 1427; Armor: 0; MR: 3; Gold: 3880
Health: 1430; Armor: 0; MR: 3; Gold: 3890
Health: 1432; Armor: 0; MR: 4; Gold: 3900
Health: 1435; Armor: 0; MR: 4; Gold: 3910
Health: 1438; Armor: 0; MR: 4; Gold: 3920
Health: 1441; Armor: 0; MR: 4; Gold: 3930
Health: 1444; Armor: 0; MR: 4; Gold: 3940
Health: 1447; Armor: 0; MR: 4; Gold: 3950
Health: 1449; Armor: 0; MR: 4; Gold: 3960
Health: 1452; Armor: 0; MR: 5; Gold: 3970
Health: 1455; Armor: 0; MR: 5; Gold: 3980
Health: 1458; Armor: 0; MR: 5; Gold: 3990
Health: 1460; Armor: 0; MR: 5; Gold: 4000
Health: 1462; Armor: 0; MR: 5; Gold: 4010
Health: 1464; Armor: 0; MR: 5; Gold: 4020
Health: 1466; Armor: 0; MR: 5; Gold: 4030
Health: 1468; Armor: 0; MR: 6; Gold: 4040
Health: 1470; Armor: 0; MR: 6; Gold: 4050
Health: 1471; Armor: 0; MR: 6; Gold: 4060
Health: 1473; Armor: 0; MR: 6; Gold: 4070
Health: 1475; Armor: 1; MR: 6; Gold: 4080
Health: 1477; Armor: 1; MR: 6; Gold: 4090
Health: 1479; Armor: 1; MR: 6; Gold: 4100
Health: 1481; Armor: 1; MR: 6; Gold: 4110
Health: 1483; Armor: 1; MR: 7; Gold: 4120
Health: 1485; Armor: 1; MR: 7; Gold: 4130
Health: 1486; Armor: 1; MR: 7; Gold: 4140
Health: 1488; Armor: 1; MR: 7; Gold: 4150
Health: 1490; Armor: 2; MR: 7; Gold: 4160
Health: 1492; Armor: 2; MR: 7; Gold: 4170
Health: 1494; Armor: 2; MR: 7; Gold: 4180
