Health: 0; Armor: 25; MR: 0; Gold: 510
Health: 0; Armor: 25; MR: 0; Gold: 520
Health: 430; Armor: 0; MR: 0; Gold: 1150
Health: 323; Armor: 16; MR: 0; Gold: 1190
Health: 498; Armor: 0; MR: 0; Gold: 1330
Health: 479; Armor: 0; MR: 14; Gold: 1540
Health: 632; Armor: 0; MR: 0; Gold: 1690
Health: 715; Armor: 0; MR: 0; Gold: 1910
Health: 801; Armor: 0; MR: 0; Gold: 2120
Health: 810; Armor: 0; MR: 0; Gold: 2150
Health: 865; Armor: 0; MR: 0; Gold: 2310
Health: 163; Armor: 0; MR: 110; Gold: 2420
Health: 917; Armor: 0; MR: 0; Gold: 2450
Health: 947; Armor: 0; MR: 0; Gold: 2530
Health: 969; Armor: 0; MR: 0; Gold: 2570
Health: 968; Armor: 0; MR: 0; Gold: 2580
Health: 995; Armor: 0; MR: 0; Gold: 2660
Health: 1003; Armor: 0; MR: 0; Gold: 2680
Health: 1003; Armor: 0; MR: 0; Gold: 2690
Health: 1013; Armor: 1; MR: 0; Gold: 2730
Health: 1015; Armor: 1; MR: 0; Gold: 2740
Health: 1018; Armor: 1; MR: 0; Gold: 2750
Health: 1032; Armor: 2; MR: 0; Gold: 2810
Health: 1037; Armor: 3; MR: 0; Gold: 2830
Health: 1039; Armor: 3; MR: 0; Gold: 2840
Health: 1067; Armor: 0; MR: 0; Gold: 2850
Health: 1051; Armor: 4; MR: 0; Gold: 2890
Health: 1055; Armor: 4; MR: 0; Gold: 2910
Health: 1058; Armor: 4; MR: 0; Gold: 2920
Health: 1060; Armor: 4; MR: 0; Gold: 2930
Health: 1116; Armor: 0; MR: 0; Gold: 2980
Health: 1077; Armor: 6; MR: 0; Gold: 3000
Health: 1079; Armor: 6; MR: 0; Gold: 3010
Health: 1084; Armor: 6; MR: 0; Gold: 3030
Health: 1086; Armor: 6; MR: 0; Gold: 3040
Health: 1088; Armor: 7; MR: 0; Gold: 3050
Health: 1098; Armor: 7; MR: 0; Gold: 3090
Health: 1103; Armor: 8; MR: 0; Gold: 3110
Health: 1105; Armor: 8; MR: 0; Gold: 3120
Health: 1107; Armor: 8; MR: 0; Gold: 3130
Health: 1110; Armor: 8; MR: 0; Gold: 3140
Health: 1112; Armor: 8; MR: 0; Gold: 3150
Health: 1115; Armor: 9; MR: 0; Gold: 3160
Health: 1122; Armor: 9; MR: 0; Gold: 3190
Health: 1124; Armor: 9; MR: 0; Gold: 3200
Health: 1129; Armor: 10; MR: 0; Gold: 3220
Health: 1131; Armor: 10; MR: 0; Gold: 3230
Health: 1145; Armor: 11; MR: 0; Gold: 3290
Health: 1241; Armor: 0; MR: 0; Gold: 3300
Health: 1150; Armor: 11; MR: 0; Gold: 3310
Health: 1153; Armor: 12; MR: 0; Gold: 3320
Health: 1157; Armor: 12; MR: 0; Gold: 3340
Health: 1164; Armor: 12; MR: 0; Gold: 3370
Health: 1167; Armor: 13; MR: 0; Gold: 3380
Health: 1179; Armor: 14; MR: 0; Gold: 3430
Health: 1184; Armor: 14; MR: 0; Gold: 3450
Health: 1186; Armor: 14; MR: 0; Gold: 3460
Health: 1188; Armor: 14; MR: 0; Gold: 3470
Health: 1198; Armor: 15; MR: 0; Gold: 3510
Health: 1200; Armor: 15; MR: 0; Gold: 3520
Health: 1327; Armor: 0; MR: 0; Gold: 3530
Health: 1205; Armor: 16; MR: 0; Gold: 3540
Health: 1207; Armor: 16; MR: 0; Gold: 3550
Health: 1338; Armor: 0; MR: 0; Gold: 3560
Health: 1340; Armor: 0; MR: 0; Gold: 3570
Health: 1217; Armor: 16; MR: 0; Gold: 3590
Health: 1219; Armor: 17; MR: 0; Gold: 3600
Health: 1222; Armor: 17; MR: 0; Gold: 3610
Health: 1224; Armor: 17; MR: 0; Gold: 3620
Health: 1227; Armor: 17; MR: 0; Gold: 3630
Health: 1376; Armor: 0; MR: 0; Gold: 3660
Health: 1239; Armor: 18; MR: 0; Gold: 3680
Health: 1243; Armor: 18; MR: 0; Gold: 3700
