Health: 996; Armor: 32; MR: 0; Gold: 3320
Health: 0; Armor: 157; MR: 10; Gold: 3340
Health: 1048; Armor: 39; MR: 0; Gold: 3600
Health: 1069; Armor: 42; MR: 0; Gold: 3710
Health: 1071; Armor: 43; MR: 0; Gold: 3720
Health: 1074; Armor: 43; MR: 0; Gold: 3740
Health: 1076; Armor: 43; MR: 0; Gold: 3750
Health: 1078; Armor: 43; MR: 0; Gold: 3760
Health: 1080; Armor: 44; MR: 0; Gold: 3770
Health: 1082; Armor: 44; MR: 0; Gold: 3780
Health: 1084; Armor: 44; MR: 0; Gold: 3790
Health: 1086; Armor: 44; MR: 0; Gold: 3800
Health: 1088; Armor: 45; MR: 0; Gold: 3810
Health: 1089; Armor: 45; MR: 0; Gold: 3820
Health: 1091; Armor: 45; MR: 0; Gold: 3830
Health: 1093; Armor: 46; MR: 0; Gold: 3840
Health: 1095; Armor: 46; MR: 0; Gold: 3850
Health: 1097; Armor: 46; MR: 0; Gold: 3860
Health: 1099; Armor: 46; MR: 0; Gold: 3870
Health: 1101; Armor: 46; MR: 0; Gold: 3880
Health: 1102; Armor: 47; MR: 0; Gold: 3890
Health: 1104; Armor: 47; MR: 0; Gold: 3900
Health: 1106; Armor: 47; MR: 0; Gold: 3910
Health: 1108; Armor: 47; MR: 0; Gold: 3920
Health: 1110; Armor: 48; MR: 0; Gold: 3930
Health: 1112; Armor: 48; MR: 0; Gold: 3940
Health: 1114; Armor: 48; MR: 0; Gold: 3950
Health: 1116; Armor: 48; MR: 0; Gold: 3960
Health: 1117; Armor: 49; MR: 0; Gold: 3970
Health: 1119; Armor: 49; MR: 0; Gold: 3980
Health: 1121; Armor: 49; MR: 0; Gold: 3990
Health: 1123; Armor: 49; MR: 0; Gold: 4000
Health: 1125; Armor: 50; MR: 0; Gold: 4010
Health: 1127; Armor: 50; MR: 0; Gold: 4020
Health: 1129; Armor: 50; MR: 0; Gold: 4030
Health: 1131; Armor: 50; MR: 0; Gold: 4040
Health: 1132; Armor: 51; MR: 0; Gold: 4050
Health: 1134; Armor: 51; MR: 0; Gold: 4060
Health: 1136; Armor: 51; MR: 0; Gold: 4070
Health: 1138; Armor: 51; MR: 0; Gold: 4080
Health: 1140; Armor: 52; MR: 0; Gold: 4090
Health: 1142; Armor: 52; MR: 0; Gold: 4100
Health: 1144; Armor: 52; MR: 0; Gold: 4110
Health: 1146; Armor: 53; MR: 0; Gold: 4120
Health: 1147; Armor: 53; MR: 0; Gold: 4130
Health: 1149; Armor: 53; MR: 0; Gold: 4140
Health: 1151; Armor: 53; MR: 0; Gold: 4150
Health: 1153; Armor: 53; MR: 0; Gold: 4160
Health: 1155; Armor: 54; MR: 0; Gold: 4170
Health: 1157; Armor: 54; MR: 0; Gold: 4180
Health: 1159; Armor: 54; MR: 0; Gold: 4190
Health: 1161; Armor: 54; MR: 0; Gold: 4200
Health: 1162; Armor: 55; MR: 0; Gold: 4210
Health: 1164; Armor: 55; MR: 0; Gold: 4220
Health: 1166; Armor: 55; MR: 0; Gold: 4230
Health: 1168; Armor: 56; MR: 0; Gold: 4240
Health: 1170; Armor: 56; MR: 0; Gold: 4250
Health: 1172; Armor: 56; MR: 0; Gold: 4260
Health: 1174; Armor: 56; MR: 0; Gold: 4270
Health: 1176; Armor: 56; MR: 0; Gold: 4280
Health: 1177; Armor: 57; MR: 0; Gold: 4290
Health: 1179; Armor: 57; MR: 0; Gold: 4300
Health: 1181; Armor: 57; MR: 0; Gold: 4310
Health: 1183; Armor: 58; MR: 0; Gold: 4320
Health: 1185; Armor: 58; MR: 0; Gold: 4330
Health: 1187; Armor: 58; MR: 0; Gold: 4340
Health: 1189; Armor: 58; MR: 0; Gold: 4350
Health: 1191; Armor: 59; MR: 0; Gold: 4360
Health: 1192; Armor: 59; MR: 0; Gold: 4370
Health: 1194; Armor: 59; MR: 0; Gold: 4380
Health: 1196; Armor: 59; MR: 0; Gold: 4390
Health: 1198; Armor: 59; MR: 0; Gold: 4400
Health: 1200; Armor: 60; MR: 0; Gold: 4410
Health: 1202; Armor: 60; MR: 0; Gold: 4420
Health: 1204; Armor: 60; MR: 0; Gold: 4430
Health: 1206; Armor: 60; MR: 0; Gold: 4440
Health: 1207; Armor: 61; MR: 0; Gold: 4450
Health: 1209; Armor: 61; MR: 0; Gold: 4460
Health: 1211; Armor: 61; MR: 0; Gold: 4470
Health: 1213; Armor: 61; MR: 0; Gold: 4480
Health: 1215; Armor: 62; MR: 0; Gold: 4490
Health: 1217; Armor: 62; MR: 0; Gold: 4500
Health: 1219; Armor: 62; MR: 0; Gold: 4510
Health: 1220; Armor: 62; MR: 0; Gold: 4520
Health: 1222; Armor: 63; MR: 0; Gold: 4530
Health: 1224; Armor: 63; MR: 0; Gold: 4540
Health: 1226; Armor: 63; MR: 0; Gold: 4550
Health: 1228; Armor: 63; MR: 0; Gold: 4560
Health: 1230; Armor: 64; MR: 0; Gold: 4570
Health: 1232; Armor: 64; MR: 0; Gold: 4580
Health: 1234; Armor: 64; MR: 0; Gold: 4590
Health: 1235; Armor: 64; MR: 0; Gold: 4600
Health: 1237; Armor: 65; MR: 0; Gold: 4610
Health: 1239; Armor: 65; MR: 0; Gold: 4620
Health: 1241; Armor: 65; MR: 0; Gold: 4630
Health: 1243; Armor: 65; MR: 0; Gold: 4640
Health: 1245; Armor: 66; MR: 0; Gold: 4650
Health: 1247; Armor: 66; MR: 0; Gold: 4660
Health: 1249; Armor: 66; MR: 0; Gold: 4670
Health: 1250; Armor: 67; MR: 0; Gold: 4680
Health: 1252; Armor: 67; MR: 0; Gold: 4690
Health: 1254; Armor: 67; MR: 0; Gold: 4700
Health: 1256; Armor: 67; MR: 0; Gold: 4710
Health: 1258; Armor: 68; MR: 0; Gold: 4720
Health: 1260; Armor: 68; MR: 0; Gold: 4730
Health: 1262; Armor: 68; MR: 0; Gold: 4740
Health: 1264; Armor: 68; MR: 0; Gold: 4750
Health: 1265; Armor: 68; MR: 0; Gold: 4760
Health: 1267; Armor: 69; MR: 0; Gold: 4770
Health: 1269; Armor: 69; MR: 0; Gold: 4780
Health: 1271; Armor: 69; MR: 0; Gold: 4790
Health: 1273; Armor: 69; MR: 0; Gold: 4800
Health: 1275; Armor: 70; MR: 0; Gold: 4810
Health: 1277; Armor: 70; MR: 0; Gold: 4820
Health: 1279; Armor: 70; MR: 0; Gold: 4830
Health: 1280; Armor: 70; MR: 0; Gold: 4840
Health: 1282; Armor: 71; MR: 0; Gold: 4850
Health: 1284; Armor: 71; MR: 0; Gold: 4860
Health: 1286; Armor: 71; MR: 0; Gold: 4870
Health: 1288; Armor: 71; MR: 0; Gold: 4880
Health: 1290; Armor: 72; MR: 0; Gold: 4890
Health: 1292; Armor: 72; MR: 0; Gold: 4900
Health: 1294; Armor: 72; MR: 0; Gold: 4910
Health: 1295; Armor: 72; MR: 0; Gold: 4920
Health: 1297; Armor: 73; MR: 0; Gold: 4930
Health: 1299; Armor: 73; MR: 0; Gold: 4940
Health: 1301; Armor: 73; MR: 0; Gold: 4950
Health: 1303; Armor: 73; MR: 0; Gold: 4960
Health: 1305; Armor: 74; MR: 0; Gold: 4970
Health: 1307; Armor: 74; MR: 0; Gold: 4980
Health: 1308; Armor: 74; MR: 0; Gold: 4990
Health: 1310; Armor: 74; MR: 0; Gold: 5000
Health: 1312; Armor: 75; MR: 0; Gold: 5010
Health: 1314; Armor: 75; MR: 0; Gold: 5020
Health: 1316; Armor: 75; MR: 0; Gold: 5030
Health: 1318; Armor: 76; MR: 0; Gold: 5040
Health: 1320; Armor: 76; MR: 0; Gold: 5050
Health: 1322; Armor: 76; MR: 0; Gold: 5060
Health: 1323; Armor: 76; MR: 0; Gold: 5070
Health: 1325; Armor: 76; MR: 0; Gold: 5080
Health: 1327; Armor: 77; MR: 0; Gold: 5090
Health: 1329; Armor: 77; MR: 0; Gold: 5100
Health: 1331; Armor: 77; MR: 0; Gold: 5110
Health: 1333; Armor: 77; MR: 0; Gold: 5120
Health: 1335; Armor: 78; MR: 0; Gold: 5130
Health: 1337; Armor: 78; MR: 0; Gold: 5140
Health: 1338; Armor: 78; MR: 0; Gold: 5150
Health: 1340; Armor: 78; MR: 0; Gold: 5160
Health: 1342; Armor: 79; MR: 0; Gold: 5170
Health: 1344; Armor: 79; MR: 0; Gold: 5180
Health: 1346; Armor: 79; MR: 0; Gold: 5190
Health: 1348; Armor: 80; MR: 0; Gold: 5200
Health: 1350; Armor: 80; MR: 0; Gold: 5210
Health: 1352; Armor: 80; MR: 0; Gold: 5220
Health: 1353; Armor: 80; MR: 0; Gold: 5230
Health: 1355; Armor: 81; MR: 0; Gold: 5240
Health: 1357; Armor: 81; MR: 0; Gold: 5250
Health: 1359; Armor: 81; MR: 0; Gold: 5260
Health: 1361; Armor: 81; MR: 0; Gold: 5270
Health: 1363; Armor: 81; MR: 0; Gold: 5280
Health: 1365; Armor: 82; MR: 0; Gold: 5290
Health: 1367; Armor: 82; MR: 0; Gold: 5300
Health: 1368; Armor: 82; MR: 0; Gold: 5310
Health: 1370; Armor: 82; MR: 0; Gold: 5320
Health: 1372; Armor: 83; MR: 0; Gold: 5330
Health: 1374; Armor: 83; MR: 0; Gold: 5340
Health: 1376; Armor: 83; MR: 0; Gold: 5350
Health: 1378; Armor: 83; MR: 0; Gold: 5360
Health: 1380; Armor: 84; MR: 0; Gold: 5370
Health: 1382; Armor: 84; MR: 0; Gold: 5380
Health: 1383; Armor: 84; MR: 0; Gold: 5390
Health: 1385; Armor: 84; MR: 0; Gold: 5400
Health: 1387; Armor: 85; MR: 0; Gold: 5410
Health: 1389; Armor: 85; MR: 0; Gold: 5420
Health: 1391; Armor: 85; MR: 0; Gold: 5430
Health: 1393; Armor: 85; MR: 0; Gold: 5440
Health: 1395; Armor: 86; MR: 0; Gold: 5450
Health: 1397; Armor: 86; MR: 0; Gold: 5460
Health: 1398; Armor: 86; MR: 0; Gold: 5470
Health: 1400; Armor: 87; MR: 0; Gold: 5480
Health: 1402; Armor: 87; MR: 0; Gold: 5490
Health: 1404; Armor: 87; MR: 0; Gold: 5500
Health: 1406; Armor: 87; MR: 0; Gold: 5510
Health: 1408; Armor: 87; MR: 0; Gold: 5520
Health: 1410; Armor: 88; MR: 0; Gold: 5530
Health: 1411; Armor: 88; MR: 0; Gold: 5540
Health: 1413; Armor: 88; MR: 0; Gold: 5550
Health: 1415; Armor: 88; MR: 0; Gold: 5560
Health: 1417; Armor: 89; MR: 0; Gold: 5570
Health: 1419; Armor: 89; MR: 0; Gold: 5580
Health: 1421; Armor: 89; MR: 0; Gold: 5590
Health: 1423; Armor: 89; MR: 0; Gold: 5600
Health: 1425; Armor: 90; MR: 0; Gold: 5610
Health: 1426; Armor: 90; MR: 0; Gold: 5620
Health: 1428; Armor: 90; MR: 0; Gold: 5630
Health: 1430; Armor: 91; MR: 0; Gold: 5640
Health: 1432; Armor: 91; MR: 0; Gold: 5650
Health: 1434; Armor: 91; MR: 0; Gold: 5660
Health: 1436; Armor: 91; MR: 0; Gold: 5670
Health: 1438; Armor: 92; MR: 0; Gold: 5680
Health: 1440; Armor: 92; MR: 0; Gold: 5690
