Health: 207; Armor: 0; MR: 1; Gold: 580
Health: 7; Armor: 45; MR: 0; Gold: 930
Health: 812; Armor: 0; MR: 0; Gold: 2170
Health: 876; Armor: 0; MR: 0; Gold: 2340
Health: 895; Armor: 0; MR: 0; Gold: 2390
Health: 901; Armor: 0; MR: 0; Gold: 2410
Health: 903; Armor: 0; MR: 0; Gold: 2420
Health: 908; Armor: 0; MR: 0; Gold: 2440
Health: 912; Armor: 0; MR: 1; Gold: 2460
Health: 915; Armor: 0; MR: 1; Gold: 2470
Health: 924; Armor: 0; MR: 2; Gold: 2510
Health: 927; Armor: 0; MR: 2; Gold: 2520
Health: 934; Armor: 0; MR: 3; Gold: 2550
Health: 936; Armor: 0; MR: 3; Gold: 2560
Health: 938; Armor: 0; MR: 3; Gold: 2570
Health: 943; Armor: 0; MR: 3; Gold: 2590
Health: 945; Armor: 0; MR: 4; Gold: 2600
Health: 950; Armor: 0; MR: 4; Gold: 2620
Health: 955; Armor: 0; MR: 4; Gold: 2640
Health: 957; Armor: 0; MR: 5; Gold: 2650
Health: 959; Armor: 0; MR: 5; Gold: 2660
Health: 962; Armor: 0; MR: 5; Gold: 2670
Health: 967; Armor: 0; MR: 5; Gold: 2690
Health: 971; Armor: 0; MR: 6; Gold: 2710
Health: 974; Armor: 0; MR: 6; Gold: 2720
Health: 976; Armor: 0; MR: 6; Gold: 2730
Health: 983; Armor: 0; MR: 7; Gold: 2760
Health: 988; Armor: 0; MR: 7; Gold: 2780
Health: 990; Armor: 0; MR: 8; Gold: 2790
Health: 993; Armor: 0; MR: 8; Gold: 2800
Health: 1000; Armor: 0; MR: 8; Gold: 2830
Health: 1004; Armor: 0; MR: 9; Gold: 2850
Health: 1007; Armor: 0; MR: 9; Gold: 2860
Health: 1078; Armor: 0; MR: 0; Gold: 2870
Health: 1012; Armor: 0; MR: 9; Gold: 2880
Health: 1014; Armor: 0; MR: 10; Gold: 2890
Health: 1019; Armor: 0; MR: 10; Gold: 2910
Health: 1021; Armor: 0; MR: 10; Gold: 2920
Health: 1024; Armor: 0; MR: 10; Gold: 2930
Health: 1026; Armor: 0; MR: 11; Gold: 2940
Health: 1031; Armor: 0; MR: 11; Gold: 2960
Health: 1033; Armor: 0; MR: 11; Gold: 2970
Health: 1035; Armor: 0; MR: 11; Gold: 2980
Health: 1125; Armor: 0; MR: 0; Gold: 2990
Health: 1045; Armor: 0; MR: 12; Gold: 3020
Health: 1047; Armor: 0; MR: 12; Gold: 3030
Health: 1050; Armor: 0; MR: 13; Gold: 3040
Health: 1052; Armor: 0; MR: 13; Gold: 3050
Health: 1057; Armor: 0; MR: 13; Gold: 3070
Health: 1059; Armor: 0; MR: 13; Gold: 3080
Health: 1062; Armor: 0; MR: 14; Gold: 3090
Health: 1064; Armor: 0; MR: 14; Gold: 3100
Health: 1066; Armor: 0; MR: 14; Gold: 3110
Health: 1069; Armor: 0; MR: 14; Gold: 3120
Health: 1071; Armor: 0; MR: 14; Gold: 3130
Health: 1074; Armor: 0; MR: 15; Gold: 3140
Health: 1076; Armor: 0; MR: 15; Gold: 3150
Health: 1078; Armor: 0; MR: 15; Gold: 3160
Health: 1081; Armor: 0; MR: 15; Gold: 3170
Health: 1083; Armor: 0; MR: 15; Gold: 3180
Health: 1085; Armor: 0; MR: 16; Gold: 3190
Health: 1088; Armor: 0; MR: 16; Gold: 3200
Health: 1090; Armor: 0; MR: 16; Gold: 3210
Health: 1093; Armor: 0; MR: 16; Gold: 3220
Health: 1095; Armor: 0; MR: 16; Gold: 3230
Health: 1097; Armor: 0; MR: 17; Gold: 3240
Health: 1222; Armor: 0; MR: 0; Gold: 3250
Health: 1102; Armor: 0; MR: 17; Gold: 3260
Health: 1224; Armor: 0; MR: 0; Gold: 3270
Health: 1107; Armor: 0; MR: 17; Gold: 3280
Health: 1109; Armor: 0; MR: 18; Gold: 3290
Health: 1112; Armor: 0; MR: 18; Gold: 3300
Health: 1246; Armor: 0; MR: 0; Gold: 3310
Health: 1246; Armor: 0; MR: 0; Gold: 3320
Health: 1119; Armor: 0; MR: 18; Gold: 3330
Health: 1121; Armor: 0; MR: 19; Gold: 3340
Health: 1124; Armor: 0; MR: 19; Gold: 3350
Health: 1126; Armor: 0; MR: 19; Gold: 3360
Health: 1131; Armor: 0; MR: 19; Gold: 3380
Health: 1134; Armor: 0; MR: 20; Gold: 3390
Health: 1136; Armor: 0; MR: 20; Gold: 3400
Health: 1277; Armor: 0; MR: 0; Gold: 3410
Health: 1141; Armor: 0; MR: 20; Gold: 3420
Health: 1143; Armor: 0; MR: 20; Gold: 3430
Health: 1146; Armor: 0; MR: 21; Gold: 3440
Health: 1148; Armor: 0; MR: 21; Gold: 3450
Health: 1150; Armor: 0; MR: 21; Gold: 3460
Health: 1153; Armor: 0; MR: 21; Gold: 3470
Health: 1155; Armor: 0; MR: 21; Gold: 3480
Health: 1158; Armor: 0; MR: 22; Gold: 3490
Health: 1160; Armor: 0; MR: 22; Gold: 3500
Health: 1296; Armor: 0; MR: 2; Gold: 3510
Health: 1165; Armor: 0; MR: 22; Gold: 3520
Health: 1170; Armor: 0; MR: 23; Gold: 3540
Health: 1175; Armor: 0; MR: 23; Gold: 3560
Health: 1177; Armor: 0; MR: 23; Gold: 3570
Health: 1179; Armor: 0; MR: 23; Gold: 3580
Health: 1184; Armor: 0; MR: 23; Gold: 3590
Health: 1184; Armor: 0; MR: 24; Gold: 3600
Health: 1187; Armor: 0; MR: 24; Gold: 3610
Health: 1359; Armor: 0; MR: 0; Gold: 3620
Health: 1191; Armor: 0; MR: 24; Gold: 3630
Health: 1194; Armor: 0; MR: 25; Gold: 3640
Health: 1196; Armor: 0; MR: 25; Gold: 3650
Health: 1199; Armor: 0; MR: 25; Gold: 3660
Health: 1201; Armor: 0; MR: 25; Gold: 3670
Health: 1204; Armor: 0; MR: 25; Gold: 3680
Health: 1208; Armor: 0; MR: 26; Gold: 3700
Health: 1211; Armor: 0; MR: 26; Gold: 3710
Health: 1396; Armor: 0; MR: 0; Gold: 3720
Health: 1216; Armor: 0; MR: 26; Gold: 3730
Health: 1218; Armor: 0; MR: 27; Gold: 3740
Health: 1221; Armor: 0; MR: 27; Gold: 3750
Health: 1223; Armor: 0; MR: 27; Gold: 3760
Health: 1225; Armor: 0; MR: 27; Gold: 3770
Health: 1228; Armor: 0; MR: 27; Gold: 3780
Health: 1230; Armor: 0; MR: 27; Gold: 3790
Health: 1233; Armor: 0; MR: 28; Gold: 3800
Health: 1235; Armor: 0; MR: 28; Gold: 3810
Health: 1238; Armor: 0; MR: 28; Gold: 3820
Health: 1240; Armor: 0; MR: 28; Gold: 3830
Health: 1243; Armor: 0; MR: 28; Gold: 3840
Health: 1245; Armor: 0; MR: 29; Gold: 3850
Health: 1247; Armor: 0; MR: 29; Gold: 3860
Health: 1250; Armor: 0; MR: 29; Gold: 3870
Health: 1252; Armor: 0; MR: 29; Gold: 3880
Health: 1255; Armor: 0; MR: 29; Gold: 3890
Health: 1257; Armor: 0; MR: 30; Gold: 3900
Health: 1260; Armor: 0; MR: 30; Gold: 3910
Health: 1262; Armor: 0; MR: 30; Gold: 3920
Health: 1264; Armor: 0; MR: 30; Gold: 3930
Health: 1267; Armor: 0; MR: 30; Gold: 3940
Health: 1269; Armor: 0; MR: 31; Gold: 3950
Health: 1272; Armor: 0; MR: 31; Gold: 3960
Health: 1274; Armor: 0; MR: 31; Gold: 3970
Health: 1277; Armor: 0; MR: 31; Gold: 3980
Health: 1279; Armor: 0; MR: 31; Gold: 3990
Health: 1282; Armor: 0; MR: 32; Gold: 4000
Health: 1284; Armor: 0; MR: 32; Gold: 4010
Health: 1286; Armor: 0; MR: 32; Gold: 4020
Health: 1289; Armor: 0; MR: 32; Gold: 4030
Health: 1291; Armor: 0; MR: 32; Gold: 4040
Health: 1294; Armor: 0; MR: 33; Gold: 4050
Health: 1296; Armor: 0; MR: 33; Gold: 4060
Health: 1299; Armor: 0; MR: 33; Gold: 4070
Health: 1301; Armor: 0; MR: 33; Gold: 4080
Health: 1304; Armor: 0; MR: 33; Gold: 4090
Health: 1306; Armor: 0; MR: 33; Gold: 4100
Health: 1308; Armor: 0; MR: 34; Gold: 4110
Health: 1311; Armor: 0; MR: 34; Gold: 4120
Health: 1313; Armor: 0; MR: 34; Gold: 4130
Health: 1316; Armor: 0; MR: 34; Gold: 4140
Health: 1318; Armor: 0; MR: 34; Gold: 4150
Health: 1321; Armor: 0; MR: 35; Gold: 4160
Health: 1323; Armor: 0; MR: 35; Gold: 4170
Health: 1326; Armor: 0; MR: 35; Gold: 4180
Health: 1328; Armor: 0; MR: 35; Gold: 4190
Health: 1331; Armor: 0; MR: 35; Gold: 4200
Health: 1333; Armor: 0; MR: 36; Gold: 4210
Health: 1335; Armor: 0; MR: 36; Gold: 4220
Health: 1338; Armor: 0; MR: 36; Gold: 4230
Health: 1340; Armor: 0; MR: 36; Gold: 4240
Health: 1343; Armor: 0; MR: 36; Gold: 4250
Health: 1345; Armor: 0; MR: 37; Gold: 4260
Health: 1348; Armor: 0; MR: 37; Gold: 4270
Health: 1350; Armor: 0; MR: 37; Gold: 4280
Health: 1353; Armor: 0; MR: 37; Gold: 4290
Health: 1355; Armor: 0; MR: 37; Gold: 4300
Health: 1358; Armor: 0; MR: 37; Gold: 4310
Health: 1360; Armor: 0; MR: 38; Gold: 4320
Health: 1363; Armor: 0; MR: 38; Gold: 4330
Health: 1365; Armor: 0; MR: 38; Gold: 4340
Health: 1367; Armor: 0; MR: 38; Gold: 4350
Health: 1370; Armor: 0; MR: 38; Gold: 4360
Health: 1372; Armor: 0; MR: 39; Gold: 4370
Health: 1375; Armor: 0; MR: 39; Gold: 4380
Health: 1377; Armor: 0; MR: 39; Gold: 4390
Health: 1380; Armor: 0; MR: 39; Gold: 4400
Health: 1382; Armor: 0; MR: 39; Gold: 4410
Health: 1385; Armor: 0; MR: 40; Gold: 4420
Health: 1387; Armor: 0; MR: 40; Gold: 4430
Health: 1390; Armor: 0; MR: 40; Gold: 4440
Health: 1392; Armor: 0; MR: 40; Gold: 4450
Health: 1395; Armor: 0; MR: 40; Gold: 4460
Health: 1397; Armor: 0; MR: 41; Gold: 4470
Health: 1400; Armor: 0; MR: 41; Gold: 4480
Health: 1404; Armor: 0; MR: 41; Gold: 4490
Health: 1405; Armor: 0; MR: 41; Gold: 4500
Health: 1407; Armor: 0; MR: 41; Gold: 4510
Health: 1409; Armor: 0; MR: 41; Gold: 4520
Health: 1412; Armor: 0; MR: 42; Gold: 4530
Health: 1414; Armor: 0; MR: 42; Gold: 4540
